Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
20,Trevor Ariza\arizatr01,SF,32,HOU,23,787,12.9,.614,.750,.132,1.9,12.6,7.3,7.9,2.3,0.5,9.2,13.1,,1.3,1.0,2.3,.139,,1.9,1.1,3.0,1.0
21,Darrell Arthur\arthuda01,PF,29,DEN,4,38,-9.4,.269,.692,.000,2.9,11.9,7.3,3.5,2.6,0.0,35.0,22.7,,-0.3,0.0,-0.3,-0.328,,-12.8,-2.2,-15.0,-0.1
22,Omer Asik\asikom01,C,31,NOP,7,70,5.6,.463,.000,.182,4.9,27.7,16.7,3.6,0.0,0.0,14.4,8.6,,0.0,0.0,0.0,.015,,-6.2,-1.6,-7.9,-0.1
23,D.J. Augustin\augusdj01,PG,30,ORL,21,425,15.4,.629,.453,.427,1.3,8.4,4.9,24.7,2.0,0.0,19.2,17.6,,0.8,0.2,1.0,.116,,1.1,-2.2,-1.2,0.1
24,Luke Babbitt\babbilu01,SF,28,ATL,24,459,12.5,.647,.642,.112,1.0,15.6,8.2,6.2,0.7,0.8,9.1,14.8,,0.7,0.1,0.8,.087,,0.6,-2.3,-1.7,0.0
25,Dwayne Bacon\bacondw01,SG,22,CHO,25,436,5.0,.433,.274,.104,0.2,20.2,10.1,6.6,0.9,0.4,11.2,12.4,,-0.4,0.4,0.0,.002,,-5.6,0.6,-5.0,-0.3
26,Ron Baker\bakerro01,SG,24,NYK,9,130,12.7,.608,.556,.944,0.0,4.3,2.2,23.6,3.8,0.7,26.1,11.6,,0.2,0.2,0.3,.115,,-0.6,-0.7,-1.2,0.0
27,Lonzo Ball\balllo01,PG,20,LAL,26,861,10.9,.394,.446,.133,4.4,17.5,10.9,29.2,2.0,2.3,18.3,17.4,,-0.8,1.3,0.5,.026,,-2.6,2.5,-0.1,0.4
28,J.J. Barea\bareajo01,PG,33,DAL,28,631,18.4,.550,.476,.192,1.2,14.3,7.5,41.9,1.2,0.1,15.5,26.4,,0.9,0.5,1.4,.109,,3.2,-1.5,1.6,0.6
29,Harrison Barnes\barneha02,PF,25,DAL,28,982,15.9,.535,.230,.295,3.5,20.1,11.5,10.1,1.0,0.3,9.4,24.6,,0.7,0.9,1.6,.080,,-1.2,-0.5,-1.7,0.1
