Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
121,Cheick Diallo\diallch01,PF,21,NOP,15,109,9.3,.563,.000,.188,8.5,24.7,16.9,4.0,0.0,0.8,16.8,16.6,,0.0,0.1,0.1,.034,,-5.1,-2.9,-8.1,-0.2
122,Gorgui Dieng\dienggo01,C,28,MIN,25,435,15.9,.572,.181,.323,10.5,21.1,15.7,10.9,2.0,0.8,15.7,17.4,,0.7,0.4,1.0,.115,,0.5,0.1,0.6,0.3
123,Spencer Dinwiddie\dinwisp01,PG,24,BRK,25,663,17.6,.524,.521,.276,2.8,10.3,6.5,38.1,1.3,1.2,10.1,20.5,,1.6,0.5,2.1,.151,,3.4,-1.3,2.0,0.7
124,Tyler Dorsey\dorsety01,SG,21,ATL,9,53,6.7,.506,.706,.235,2.1,15.3,8.6,8.1,0.0,0.0,17.6,18.9,,0.0,0.0,-0.1,-0.046,,-4.0,-4.3,-8.3,-0.1
125,Damyean Dotson\dotsoda01,SG,23,NYK,17,159,9.6,.528,.435,.065,2.2,14.7,8.6,6.3,0.6,0.6,6.0,13.8,,0.1,0.1,0.2,.070,,-1.4,-1.5,-2.9,0.0
126,Goran Dragic\dragigo01,PG,31,MIA,26,823,17.2,.557,.306,.262,2.4,12.2,7.3,24.4,1.4,0.2,12.9,25.6,,1.2,0.7,1.8,.107,,1.4,-1.0,0.4,0.5
127,Andre Drummond\drumman01,C,24,DET,27,895,21.9,.564,.007,.519,16.0,36.0,25.6,17.9,2.3,3.0,20.5,20.3,,1.5,1.8,3.3,.177,,0.5,5.5,6.0,1.8
128,Jared Dudley\dudleja01,PF,32,PHO,12,183,12.8,.609,.649,.297,2.8,15.1,8.9,19.4,1.8,0.8,14.3,11.1,,0.4,0.1,0.5,.120,,1.1,-0.7,0.4,0.1
129,Kris Dunn\dunnkr01,PG,23,CHI,22,617,14.0,.485,.191,.140,2.8,16.3,9.3,31.0,3.4,1.0,18.6,25.5,,-0.7,0.8,0.1,.010,,-1.8,1.8,0.0,0.3
130,Kevin Durant\duranke01,SF,29,GSW,23,793,24.5,.627,.325,.265,2.2,18.4,11.1,23.9,1.0,4.9,14.7,30.2,,2.0,1.2,3.2,.195,,3.5,1.2,4.7,1.3
131,Henry Ellenson\ellenhe01,PF,21,DET,10,92,11.1,.495,.444,.022,2.3,29.3,15.3,10.7,1.6,0.0,15.0,25.5,,-0.1,0.1,0.0,.004,,-4.3,-1.2,-5.6,-0.1
132,Wayne Ellington\ellinwa01,SG,30,MIA,26,528,14.1,.617,.884,.092,1.1,9.6,5.4,7.4,1.5,0.2,5.3,16.3,,1.0,0.4,1.4,.127,,2.8,-1.7,1.1,0.4
133,Joel Embiid\embiijo01,C,23,PHI,22,674,24.4,.578,.156,.481,8.7,29.2,19.2,19.8,1.1,5.2,15.9,33.1,,1.2,1.1,2.3,.167,,1.0,2.6,3.6,1.0
134,James Ennis\ennisja01,SF,27,MEM,26,646,11.4,.615,.403,.318,5.5,11.5,8.5,6.8,1.4,0.7,13.0,12.2,,0.9,0.4,1.3,.096,,0.0,-0.2,-0.3,0.3
135,Tyler Ennis\ennisty01,PG,23,LAL,12,66,9.3,.421,.227,.182,1.6,12.8,7.2,19.1,2.8,1.2,14.4,17.5,,-0.1,0.1,0.0,.025,,-5.1,0.4,-4.6,0.0
136,Jawun Evans\evansja01,PG,21,LAC,18,233,7.7,.454,.253,.291,0.5,11.3,5.7,15.5,1.9,1.1,15.2,19.7,,-0.2,0.1,-0.1,-0.019,,-4.6,-1.6,-6.2,-0.2
137,Tyreke Evans\evansty01,SG,28,MEM,27,805,21.3,.574,.334,.244,3.5,16.3,9.9,26.3,1.6,1.4,11.2,27.8,,1.6,0.7,2.3,.136,,4.0,-0.5,3.5,1.1
138,Kenneth Faried\farieke01,PF,28,DEN,23,377,19.3,.618,.009,.381,14.2,21.3,17.7,4.9,1.0,2.3,12.0,17.1,,1.0,0.3,1.3,.169,,0.1,-1.2,-1.1,0.1
139,Derrick Favors\favorde01,PF,26,UTA,27,749,19.1,.596,.075,.295,9.3,18.3,13.7,10.4,1.4,3.1,12.2,19.8,,1.6,1.0,2.6,.166,,0.6,1.9,2.5,0.9
140,Kay Felder\feldeka01,PG,22,CHI,14,134,4.0,.386,.273,.182,0.8,10.8,5.6,24.2,1.1,0.7,17.4,28.5,,-0.5,0.1,-0.5,-0.164,,-7.9,-3.1,-10.9,-0.3
141,Cristiano Felicio\feliccr01,C,25,CHI,21,310,10.6,.628,.000,.379,7.9,13.3,10.5,6.4,0.6,1.1,18.1,11.8,,0.4,0.2,0.5,.081,,-2.9,-0.3,-3.1,-0.1
142,Raymond Felton\feltora01,PG,33,OKC,26,439,12.6,.483,.331,.096,1.5,10.0,5.5,22.6,1.9,0.4,9.4,18.8,,0.3,0.5,0.8,.091,,-1.7,-1.7,-3.3,-0.1
143,Terrance Ferguson\fergute01,SG,19,OKC,16,116,1.8,.402,.500,.083,2.8,3.1,2.9,1.2,1.3,0.8,10.8,10.4,,-0.1,0.1,0.0,-0.006,,-5.5,-1.3,-6.9,-0.1
144,Yogi Ferrell\ferreyo01,SG,24,DAL,28,793,10.1,.549,.461,.233,1.1,10.7,5.7,11.9,1.3,0.3,13.0,15.9,,0.3,0.6,1.0,.058,,-1.3,0.0,-1.3,0.1
145,Dorian Finney-Smith\finnedo01,PF,24,DAL,8,94,5.5,.568,.636,.091,5.6,6.0,5.8,8.1,0.0,1.0,23.4,14.4,,0.0,0.0,0.0,.003,,-2.8,-1.5,-4.4,-0.1
146,Bryn Forbes\forbebr01,SG,24,SAS,28,507,9.7,.536,.506,.114,1.5,6.8,4.2,7.6,0.8,0.3,6.9,16.6,,0.4,0.5,0.8,.076,,-0.6,-2.3,-2.8,-0.1
147,Evan Fournier\fournev01,SF,25,ORL,26,845,17.0,.597,.390,.223,1.8,9.0,5.4,14.9,1.6,0.6,11.1,23.1,,1.5,0.3,1.8,.103,,2.4,-1.9,0.4,0.5
148,De'Aaron Fox\foxde01,PG,20,SAC,27,710,9.8,.455,.137,.207,2.0,11.3,6.5,23.6,1.8,0.9,17.3,22.7,,-1.0,0.4,-0.6,-0.041,,-4.0,-1.2,-5.1,-0.6
149,Tim Frazier\fraziti01,PG,27,WAS,27,487,11.0,.514,.330,.165,2.1,12.9,7.4,28.7,2.5,0.5,26.8,12.8,,0.2,0.6,0.7,.074,,-1.9,0.5,-1.4,0.1
150,Channing Frye\fryech01,C,34,CLE,26,337,12.3,.610,.511,.076,1.8,19.1,10.8,7.7,1.2,1.6,9.5,13.9,,0.5,0.3,0.7,.103,,-0.5,-0.8,-1.3,0.1
151,Markelle Fultz\fultzma01,SG,19,PHI,4,76,3.8,.372,.000,.444,4.3,8.1,6.3,12.9,1.2,1.1,15.7,21.0,,-0.2,0.1,-0.1,-0.089,,-8.3,-1.5,-9.8,-0.2
152,Danilo Gallinari\gallida01,SF,29,LAC,11,349,10.8,.475,.446,.259,0.6,15.1,7.6,12.8,1.1,0.5,9.4,21.4,,0.0,0.1,0.2,.021,,-1.8,-2.3,-4.1,-0.2
153,Langston Galloway\gallola01,SG,26,DET,25,342,14.4,.567,.692,.115,1.3,13.7,7.2,7.7,1.3,0.8,4.9,18.4,,0.6,0.3,0.9,.125,,1.1,-1.6,-0.5,0.1
154,Marc Gasol\gasolma01,C,33,MEM,27,944,17.9,.528,.273,.348,4.4,24.8,14.5,21.8,0.8,3.8,14.3,28.0,,0.4,1.1,1.5,.076,,-0.3,1.6,1.2,0.8
155,Pau Gasol\gasolpa01,C,37,SAS,27,681,20.0,.577,.248,.288,6.2,28.5,17.4,18.9,0.7,4.1,12.7,19.2,,1.4,1.3,2.7,.189,,0.9,3.0,3.9,1.0
156,Rudy Gay\gayru01,SF,31,SAS,26,614,19.8,.575,.216,.302,7.1,19.3,13.2,12.5,2.1,2.3,13.5,24.4,,0.9,1.1,2.0,.158,,0.8,1.2,2.0,0.6
157,Paul George\georgpa01,SF,27,OKC,24,888,17.4,.546,.428,.234,2.3,15.8,8.8,14.8,3.3,1.5,13.0,25.4,,0.8,1.6,2.4,.131,,1.2,1.2,2.4,1.0
158,Marcus Georges-Hunt\georgma01,SG,23,MIN,9,15,8.6,.500,.250,.000,7.6,0.0,3.9,9.7,3.3,0.0,20.0,14.7,,0.0,0.0,0.0,.013,,-1.7,-1.4,-3.1,0.0
159,Taj Gibson\gibsota01,PF,32,MIN,28,937,15.1,.595,.083,.316,9.6,19.9,14.7,6.6,1.3,1.7,13.1,14.0,,1.7,0.7,2.4,.121,,0.7,0.7,1.5,0.8
160,Manu Ginobili\ginobma01,SG,40,SAS,23,490,10.1,.520,.442,.288,1.6,10.0,5.8,17.4,1.5,0.9,18.2,20.6,,-0.1,0.6,0.5,.050,,-1.8,-1.0,-2.7,-0.1
161,Rudy Gobert\goberru01,C,25,UTA,16,510,19.2,.651,.000,.689,9.7,27.1,18.2,6.2,1.0,6.3,18.4,16.9,,1.0,0.9,1.9,.178,,-1.3,3.9,2.6,0.6
162,Aaron Gordon\gordoaa01,PF,22,ORL,25,842,20.1,.611,.414,.323,4.8,21.3,13.1,10.2,1.4,2.0,9.1,21.5,,2.0,0.7,2.7,.154,,2.8,0.0,2.8,1.0
163,Eric Gordon\gordoer01,SG,29,HOU,23,728,14.5,.565,.647,.329,0.8,6.6,3.8,12.1,1.0,1.1,12.3,26.2,,0.9,0.6,1.5,.096,,0.6,-2.9,-2.3,-0.1
164,Marcin Gortat\gortama01,C,33,WAS,27,768,14.9,.556,.000,.297,8.7,25.1,16.9,11.2,1.2,1.9,15.4,14.9,,0.9,1.0,1.9,.120,,-1.2,2.4,1.2,0.6
165,Treveon Graham\grahatr01,SG,24,CHO,16,288,10.9,.563,.426,.221,4.8,8.2,6.5,11.8,1.7,0.0,10.8,12.6,,0.4,0.2,0.6,.107,,0.1,0.1,0.2,0.2
166,Jerami Grant\grantje01,PF,23,OKC,25,545,14.2,.571,.266,.441,6.1,13.9,9.8,5.9,1.6,3.7,11.4,15.3,,0.8,0.8,1.6,.137,,-1.5,1.4,-0.2,0.3
167,Jerian Grant\grantje02,PG,25,CHI,26,622,15.3,.532,.344,.355,2.5,9.9,6.0,33.6,1.8,0.3,14.5,17.6,,1.0,0.4,1.4,.107,,0.2,-1.6,-1.4,0.1
168,Danny Green\greenda02,SG,30,SAS,26,734,11.7,.516,.546,.066,2.0,13.4,7.7,10.4,1.9,3.6,14.0,16.6,,-0.1,1.2,1.1,.075,,-1.1,2.2,1.1,0.6
169,Draymond Green\greendr01,PF,27,GSW,25,805,16.6,.571,.472,.326,4.0,19.5,12.5,28.2,2.3,3.5,23.6,15.5,,1.3,1.4,2.7,.161,,1.3,3.2,4.4,1.3
170,JaMychal Green\greenja01,PF,27,MEM,15,414,11.8,.572,.282,.222,6.8,17.0,11.9,7.7,0.9,0.4,14.6,16.9,,0.3,0.3,0.6,.065,,-1.2,-1.1,-2.3,0.0
171,Jeff Green\greenje02,PF,31,CLE,28,610,17.2,.600,.231,.347,4.7,13.1,9.0,10.6,1.6,1.0,10.1,20.3,,1.4,0.4,1.8,.140,,0.7,-1.4,-0.7,0.2
172,Blake Griffin\griffbl01,PF,28,LAC,19,680,20.6,.542,.329,.388,4.0,21.0,12.3,24.8,1.3,0.8,12.1,30.3,,1.2,0.5,1.7,.120,,3.0,-0.8,2.2,0.7
173,Daniel Hamilton\hamilda02,SG,22,OKC,1,4,-10.5,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,,0.0,0.0,0.0,-0.241,,-14.3,-3.0,-17.2,0.0
174,Tim Hardaway\hardati02,SG,25,NYK,21,716,15.7,.534,.479,.237,2.8,11.0,7.0,15.0,1.7,0.6,9.3,23.6,,1.0,0.6,1.6,.106,,2.6,-1.0,1.7,0.7
175,James Harden\hardeja01,SG,28,HOU,25,897,31.6,.634,.512,.440,1.9,14.2,8.1,48.1,2.5,1.0,14.7,35.8,,5.0,1.3,6.3,.337,,11.0,0.7,11.7,3.1
176,Maurice Harkless\harklma01,SF,24,POR,24,551,8.5,.490,.336,.207,3.6,11.5,7.6,3.9,1.6,3.1,13.1,11.5,,-0.1,0.8,0.8,.066,,-3.0,2.5,-0.5,0.2
177,Montrezl Harrell\harremo01,C,24,LAC,19,212,26.1,.690,.000,.394,11.2,20.5,15.7,10.0,1.4,3.7,8.8,18.9,,0.9,0.2,1.1,.252,,3.1,0.3,3.3,0.3
178,Devin Harris\harride01,PG,34,DAL,22,415,13.8,.533,.403,.416,2.0,10.1,5.9,17.0,2.4,0.9,11.1,21.7,,0.4,0.5,0.8,.098,,-0.3,-0.2,-0.4,0.2
179,Gary Harris\harriga01,SG,23,DEN,25,836,15.6,.579,.477,.147,2.5,7.7,5.1,13.5,2.8,0.9,12.1,19.1,,1.3,0.7,2.0,.113,,2.3,-0.6,1.7,0.8
180,Joe Harris\harrijo01,SG,26,BRK,24,574,12.2,.599,.689,.142,2.0,10.6,6.2,8.2,1.1,0.8,9.8,16.3,,0.7,0.4,1.1,.092,,1.2,-1.0,0.2,0.3
181,Tobias Harris\harrito02,PF,25,DET,27,898,17.7,.586,.423,.144,3.2,15.9,9.3,7.6,1.0,0.5,5.4,21.7,,2.1,0.8,2.9,.154,,2.4,-1.2,1.2,0.7
182,Andrew Harrison\harrian01,PG,23,MEM,21,380,11.4,.517,.402,.318,2.5,9.4,5.9,18.5,2.0,1.5,15.9,17.7,,0.1,0.3,0.4,.049,,-1.8,-0.7,-2.5,0.0
183,Josh Hart\hartjo01,SG,22,LAL,21,292,8.8,.557,.463,.259,2.5,14.1,8.3,4.1,1.9,1.1,13.0,9.9,,0.1,0.4,0.5,.080,,-3.1,0.8,-2.3,0.0
184,Udonis Haslem\hasleud01,C,37,MIA,3,10,15.0,1.000,.000,.000,0.0,11.3,5.7,29.7,0.0,0.0,0.0,4.5,,0.0,0.0,0.0,.229,,0.5,-3.7,-3.2,0.0
185,Gordon Hayward\haywago01,SF,27,BOS,1,5,7.6,.500,.500,.000,0.0,21.4,11.0,0.0,0.0,0.0,0.0,17.9,,0.0,0.0,0.0,.066,,-5.5,-5.8,-11.3,0.0
186,John Henson\hensojo01,C,27,MIL,24,561,14.7,.560,.015,.368,9.4,24.8,17.0,8.7,1.0,6.1,17.2,15.4,,0.4,0.7,1.2,.100,,-2.5,2.3,-0.2,0.3
187,Juan Hernangomez\hernaju01,PF,22,DEN,14,190,10.1,.539,.681,.149,6.9,14.3,10.5,5.8,1.0,0.9,10.7,12.7,,0.2,0.1,0.3,.079,,-0.3,-1.8,-2.1,0.0
188,Willy Hernangomez\hernawi01,C,23,NYK,14,153,16.9,.555,.066,.246,14.6,23.3,19.1,14.0,1.6,3.6,21.9,24.8,,0.0,0.2,0.2,.059,,-1.3,1.9,0.6,0.1
189,Mario Hezonja\hezonma01,SF,22,ORL,21,228,7.3,.487,.469,.063,4.3,15.2,9.8,8.5,1.7,0.7,18.6,15.4,,-0.2,0.1,0.0,-0.010,,-3.7,-0.6,-4.3,-0.1
190,Buddy Hield\hieldbu01,SG,24,SAC,25,578,16.8,.567,.398,.094,2.9,16.3,9.4,12.1,2.5,0.7,12.6,24.7,,0.4,0.5,0.8,.070,,1.0,-1.3,-0.3,0.2
191,Nene Hilario\hilarne01,C,35,HOU,18,253,20.0,.693,.025,.543,6.4,17.8,12.1,11.6,1.9,2.0,16.6,20.7,,0.8,0.4,1.1,.215,,0.2,0.9,1.1,0.2
192,George Hill\hillge01,PG,31,SAC,24,614,13.5,.566,.341,.240,2.0,12.2,6.9,14.8,1.9,0.9,13.5,16.8,,0.6,0.3,0.9,.072,,-0.4,-0.6,-1.0,0.2
193,Darrun Hilliard\hillida01,SG,24,SAS,4,39,-2.4,.190,.286,.286,0.0,8.6,4.3,13.4,2.6,0.0,27.6,12.5,,-0.2,0.1,-0.1,-0.124,,-9.6,0.5,-9.0,-0.1
194,Jrue Holiday\holidjr01,PG,27,NOP,28,1030,15.7,.567,.332,.167,1.8,10.9,6.5,22.4,1.6,1.1,14.6,21.9,,1.3,0.5,1.8,.084,,0.9,-0.9,0.0,0.5
195,Justin Holiday\holidju01,SG,28,CHI,25,848,11.6,.494,.558,.178,1.7,12.8,7.0,9.6,1.9,1.8,8.1,20.0,,-0.1,0.8,0.7,.037,,-0.9,0.1,-0.8,0.3
196,John Holland\hollajo02,SF,29,CLE,4,17,-1.2,.375,.500,.000,0.0,12.9,6.7,0.0,0.0,0.0,20.0,13.1,,0.0,0.0,0.0,-0.135,,-9.1,-4.9,-14.1,-0.1
197,Rondae Hollis-Jefferson\holliro01,SF,23,BRK,23,635,18.4,.577,.084,.494,5.2,17.1,11.1,10.8,1.4,2.2,10.0,21.1,,1.3,0.7,1.9,.146,,-0.4,1.0,0.6,0.4
198,Richaun Holmes\holmeri01,C,24,PHI,13,208,17.1,.591,.222,.264,8.9,21.8,15.5,8.2,0.9,2.4,6.9,17.3,,0.5,0.2,0.7,.169,,0.1,-0.3,-0.2,0.1
199,Rodney Hood\hoodro01,SG,25,UTA,18,509,15.5,.556,.479,.189,1.1,9.8,5.3,11.3,1.3,0.7,10.9,28.7,,0.3,0.5,0.8,.071,,0.7,-2.8,-2.1,0.0
200,Al Horford\horfoal01,C,31,BOS,27,882,19.9,.622,.331,.185,4.5,21.8,13.4,26.8,0.9,2.7,15.6,18.3,,2.2,1.6,3.8,.207,,2.6,3.2,5.8,1.7
201,Danuel House\houseda01,SG,24,PHO,1,11,-3.3,.333,.667,.000,0.0,9.7,4.8,0.0,0.0,0.0,25.0,15.1,,0.0,0.0,0.0,-0.210,,-9.9,-5.3,-15.2,0.0
202,Dwight Howard\howardw01,C,32,CHO,26,775,17.8,.564,.004,.712,12.3,31.6,21.9,6.9,0.8,3.8,20.3,25.8,,0.0,1.2,1.2,.075,,-3.6,1.5,-2.1,0.0
203,Josh Huestis\huestjo01,PF,26,OKC,20,221,4.7,.447,.725,.118,3.9,12.8,8.2,4.5,1.4,3.9,19.5,13.0,,-0.3,0.3,0.0,.010,,-5.0,1.0,-4.0,-0.1
204,Vince Hunter\huntevi01,PF,23,MEM,2,5,34.8,1.000,.000,.000,23.6,23.9,23.7,0.0,0.0,0.0,33.3,27.9,,0.0,0.0,0.0,.135,,1.8,-9.7,-7.9,0.0
205,Serge Ibaka\ibakase01,PF,28,TOR,23,632,15.3,.593,.438,.146,3.0,19.6,11.5,3.4,0.6,4.4,8.9,19.6,,0.8,0.8,1.6,.121,,-0.2,0.3,0.1,0.3
206,Andre Iguodala\iguodan01,SF,34,GSW,24,636,10.9,.541,.372,.314,4.6,11.6,8.5,13.5,1.3,1.9,15.4,11.1,,0.7,0.7,1.4,.103,,-0.1,0.8,0.8,0.4
207,Ersan Ilyasova\ilyaser01,PF,30,ATL,16,358,15.1,.532,.479,.165,7.2,16.5,11.8,7.6,2.7,1.5,5.8,16.9,,0.5,0.3,0.8,.107,,0.8,0.1,0.9,0.3
208,Joe Ingles\inglejo01,SF,30,UTA,27,806,14.0,.616,.686,.080,1.0,14.3,7.5,20.6,2.0,0.6,16.7,15.8,,1.1,1.0,2.1,.125,,2.0,0.6,2.6,0.9
209,Brandon Ingram\ingrabr01,SF,20,LAL,26,889,11.9,.507,.122,.397,3.3,13.9,8.6,13.2,1.2,1.8,14.4,22.2,,-0.2,1.0,0.8,.046,,-3.2,0.4,-2.7,-0.2
210,Kyrie Irving\irvinky01,PG,25,BOS,27,863,25.1,.601,.326,.257,1.8,8.4,5.2,29.8,2.2,0.8,10.3,30.8,,2.8,1.4,4.2,.233,,6.4,-0.5,5.9,1.7
211,Jonathan Isaac\isaacjo01,PF,20,ORL,12,239,12.3,.543,.279,.230,5.1,19.1,12.1,5.8,1.6,4.8,15.2,14.4,,0.1,0.3,0.3,.067,,-3.1,2.1,-0.9,0.1
212,Wesley Iwundu\iwundwe01,SF,23,ORL,10,83,2.6,.329,.154,.115,2.7,14.4,8.6,9.8,1.2,0.0,9.9,15.9,,-0.2,0.0,-0.2,-0.094,,-7.5,-1.6,-9.1,-0.1
213,Jarrett Jack\jackja01,PG,34,NYK,25,653,10.7,.472,.185,.134,1.3,13.3,7.4,32.0,0.8,0.1,20.9,14.1,,0.3,0.4,0.7,.052,,-1.9,-1.0,-2.9,-0.1
214,Demetrius Jackson\jacksde01,PG,23,HOU,12,63,-0.6,.286,.429,.000,7.3,12.5,9.9,10.5,3.1,1.4,41.7,16.5,,-0.3,0.1,-0.2,-0.153,,-9.6,2.5,-7.1,-0.1
215,Josh Jackson\jacksjo02,SF,20,PHO,29,643,7.4,.445,.273,.342,4.2,12.9,8.5,7.7,2.4,0.7,16.2,23.1,,-1.3,0.4,-0.9,-0.068,,-4.7,-1.4,-6.1,-0.7
216,Justin Jackson\jacksju01,SF,22,SAC,18,343,6.5,.468,.434,.088,2.9,8.4,5.5,4.5,0.4,0.8,10.0,17.1,,-0.3,0.0,-0.3,-0.037,,-3.7,-3.2,-6.9,-0.4
217,Reggie Jackson\jacksre01,PG,27,DET,27,745,18.6,.562,.302,.257,3.2,8.7,5.8,31.7,1.3,0.2,14.7,26.0,,1.5,0.6,2.0,.132,,2.6,-1.8,0.9,0.5
218,LeBron James\jamesle01,PF,33,CLE,28,1042,31.7,.664,.257,.299,4.0,20.5,12.5,44.9,1.9,2.6,16.1,30.4,,5.1,1.1,6.3,.288,,9.4,2.0,11.5,3.5
219,Mike James\jamesmi02,PG,27,PHO,29,629,15.0,.483,.314,.280,2.0,11.8,6.8,27.4,1.9,0.9,12.3,24.8,,0.2,0.3,0.5,.038,,0.0,-2.0,-2.0,0.0
220,Al Jefferson\jeffeal01,C,33,IND,10,139,21.7,.578,.018,.211,9.0,28.3,18.9,12.3,1.8,4.2,11.4,22.2,,0.3,0.2,0.5,.175,,-0.7,1.9,1.2,0.1
221,Richard Jefferson\jefferi01,SF,37,DEN,8,56,4.7,.362,.385,.385,0.0,6.1,3.0,16.6,0.0,0.0,0.0,11.7,,0.0,0.0,0.0,.002,,-4.3,-4.7,-8.9,-0.1
222,Jonas Jerebko\jerebjo01,PF,30,UTA,22,371,14.4,.623,.481,.096,5.8,20.5,12.9,7.6,1.1,0.7,7.7,14.3,,0.8,0.4,1.2,.156,,1.0,-0.2,0.8,0.3
223,Amir Johnson\johnsam01,C,30,PHI,25,390,14.1,.521,.143,.341,13.6,21.6,17.7,12.2,2.1,4.1,18.7,13.7,,0.4,0.6,1.0,.122,,-1.3,3.6,2.3,0.4
224,Brice Johnson\johnsbr02,PF,23,LAC,7,28,19.6,.676,.125,.250,3.9,32.6,17.9,5.8,7.1,3.1,25.3,18.6,,0.0,0.1,0.1,.158,,-2.7,5.0,2.4,0.0
225,Dakari Johnson\johnsda04,C,22,OKC,12,77,14.8,.514,.000,.571,11.2,7.7,9.5,10.0,1.9,4.9,7.1,15.9,,0.1,0.1,0.3,.160,,-1.6,1.7,0.1,0.0
226,James Johnson\johnsja01,PF,30,MIA,25,693,15.7,.582,.308,.327,3.6,17.1,10.4,23.7,1.9,2.3,20.4,19.9,,0.7,0.9,1.6,.108,,-0.1,2.1,2.0,0.7
227,Joe Johnson\johnsjo02,SF,36,UTA,7,134,8.1,.448,.370,.152,3.4,13.3,8.2,12.8,1.5,1.3,16.9,20.0,,-0.2,0.1,-0.1,-0.019,,-4.5,-0.2,-4.7,-0.1
228,Stanley Johnson\johnsst04,SF,21,DET,24,680,6.8,.452,.486,.185,1.4,12.9,6.9,6.6,2.3,0.6,10.9,13.6,,-0.4,0.8,0.4,.030,,-3.0,1.5,-1.5,0.1
229,Tyler Johnson\johnsty01,PG,25,MIA,25,686,12.2,.543,.502,.205,1.7,11.5,6.6,11.2,1.1,2.4,11.0,18.6,,0.4,0.6,1.1,.076,,-0.8,0.2,-0.6,0.2
230,Wesley Johnson\johnswe01,SF,30,LAC,25,640,10.1,.518,.488,.177,2.0,13.6,7.6,6.0,2.1,3.8,12.8,13.9,,0.0,0.6,0.6,.046,,-1.8,1.6,-0.2,0.3
231,Nikola Jokic\jokicni01,C,22,DEN,21,618,24.8,.609,.286,.245,9.8,30.7,20.1,24.8,2.3,1.8,14.7,21.8,,2.0,0.9,2.9,.224,,4.6,2.5,7.1,1.4
232,Derrick Jones\jonesde02,SF,20,PHO,6,33,18.6,.678,.500,1.500,6.3,6.5,6.4,12.0,1.4,9.4,13.1,9.6,,0.1,0.0,0.1,.177,,0.8,3.2,4.0,0.1
233,Jalen Jones\jonesja04,SF,24,NOP,4,19,5.2,.512,.250,.500,0.0,17.0,8.8,0.0,0.0,0.0,0.0,11.2,,0.0,0.0,0.0,.042,,-5.9,-5.2,-11.2,0.0
234,Tyus Jones\jonesty01,PG,21,MIN,28,478,13.5,.551,.386,.284,1.4,11.3,6.3,21.4,3.2,0.4,13.9,10.6,,0.7,0.4,1.1,.115,,0.4,0.2,0.6,0.3
235,DeAndre Jordan\jordade01,C,29,LAC,25,813,19.3,.673,.000,.411,16.2,33.4,24.6,5.1,0.8,3.0,19.2,13.2,,2.0,0.9,2.9,.168,,0.4,1.0,1.4,0.7
236,Cory Joseph\josepco01,PG,26,IND,27,669,11.9,.526,.378,.168,1.0,10.6,5.9,16.5,2.0,0.8,12.7,14.9,,0.6,0.5,1.1,.077,,-0.6,-0.2,-0.7,0.2
237,Frank Kaminsky\kaminfr01,PF,24,CHO,23,531,13.1,.518,.360,.232,2.4,16.2,9.2,10.4,0.8,0.8,7.6,20.5,,0.4,0.5,0.9,.077,,-1.0,-0.8,-1.9,0.0
238,Enes Kanter\kanteen01,C,25,NYK,24,620,23.6,.641,.004,.218,16.7,28.7,22.9,8.7,1.1,1.5,14.0,20.6,,1.9,0.8,2.8,.213,,2.9,0.5,3.5,0.9
239,Luke Kennard\kennalu01,SG,21,DET,22,359,9.8,.525,.446,.124,0.9,9.8,5.2,10.1,1.8,0.2,14.1,18.2,,-0.1,0.3,0.3,.037,,-2.4,-0.9,-3.3,-0.1
240,Michael Kidd-Gilchrist\kiddgmi01,SF,24,CHO,20,533,13.4,.525,.006,.229,4.2,13.9,9.0,5.4,1.5,2.5,4.2,15.5,,0.6,0.6,1.2,.107,,-2.1,1.6,-0.5,0.2
241,Sean Kilpatrick\kilpase01,SG,28,BRK,16,183,5.4,.419,.488,.221,0.6,19.4,9.9,12.2,0.5,0.4,14.5,25.2,,-0.5,0.1,-0.3,-0.092,,-6.5,-2.4,-9.0,-0.3
242,Maxi Kleber\klebima01,PF,26,DAL,22,386,13.0,.609,.374,.209,6.6,14.6,10.5,3.6,0.7,2.6,7.5,12.6,,0.6,0.4,1.0,.123,,-0.9,0.5,-0.4,0.2
243,Furkan Korkmaz\korkmfu01,SG,20,PHI,6,32,4.3,.349,.667,.167,6.8,12.9,9.9,8.5,1.5,0.0,7.2,18.1,,0.0,0.0,0.0,-0.025,,-4.1,-2.5,-6.7,0.0
244,Kyle Korver\korveky01,SG,36,CLE,28,630,15.3,.676,.810,.171,0.6,9.5,5.2,6.8,0.9,1.5,8.7,17.1,,1.5,0.2,1.7,.131,,3.5,-2.6,0.8,0.5
245,Kosta Koufos\koufoko01,C,28,SAC,27,493,14.7,.532,.000,.371,10.1,27.1,18.3,9.4,1.4,2.9,12.8,12.8,,0.5,0.5,1.0,.100,,-2.4,1.8,-0.6,0.2
246,Kyle Kuzma\kuzmaky01,PF,22,LAL,25,760,15.5,.579,.344,.197,5.5,17.5,11.5,8.0,0.6,0.6,11.5,21.5,,1.0,0.7,1.7,.108,,0.2,-1.5,-1.4,0.1
